id,Titel,Beschreibung,Quelle
abfall,Abfall und Kreislaufwirtschaft,"Menge der Siedlungsabfälle pro Person und Fortschritte beim Schliessen von Materialkreisläufen, Recycling und Wiederverwendung.",BAFU-Themen
altlasten,Altlasten und belastete Standorte,"Sanierung von mit Schadstoffen belasteten Standorten (ca. 4'000 Altlasten in der Schweiz), Fristen und Fortschritt der Sanierungen.",BAFU-Themen
biodiversitaet,Biodiversität und Artenschutz,"Zustand und Rückgang der biologischen Vielfalt, gefährdete Arten und Lebensraumtypen, Ursachen wie Flächenverlust und Zerschneidung.",BAFU-Themen
biotechnologie,Biotechnologie und gentechnisch veränderte Organismen,"Umgang mit gentechnisch veränderten oder pathogenen Organismen und invasiven gebietsfremden Arten, Bewilligungen und Sicherheitsauflagen.",BAFU-Themen
boden,Bodenschutz und Bodenversiegelung,"Verlust und Beeinträchtigung fruchtbarer Böden durch Versiegelung und nicht nachhaltige Nutzung, Auswirkungen auf Ökosystemleistungen.",BAFU-Themen
chemikalien,Chemikaliensicherheit allgemein,"Regulierung und Risikobeurteilung chemischer Stoffe in Produkten des täglichen Bedarfs, internationale Chemikaliensicherheit.",BAFU-Themen
elektrosmog,Elektrosmog und Mobilfunkstrahlung,"Belastung der Bevölkerung durch nichtionisierende Strahlung von Mobilfunknetzen, Monitoring und Grenzwerte.",BAFU-Themen
erdbeben,Erdbebenrisiko und -vorsorge,"Erdbeben als eines der grössten Risiken der Schweiz, Massnahmenprogramme zur Vorsorge und Schadensminderung.",BAFU-Themen
umweltgesundheit,Umwelt und Gesundheit,Zusammenhang zwischen intakter Umwelt und menschlicher Gesundheit sowie Wohlbefinden.,BAFU-Themen
klima_allgemein,Klimapolitik und Treibhausgasreduktion,"Übergeordnete Schweizer Klimapolitik, Netto-Null-Ziel 2050, Klima- und Innovationsgesetz, CO2-Gesetz.",BAFU-Themen
landschaft,Landschaftsschutz und -entwicklung,"Erhalt und qualitative Weiterentwicklung der Schweizer Landschaft, Druck durch Siedlungs- und Flächenverbrauch.",BAFU-Themen
laerm,Lärmbelastung,"Verkehrslärm und dessen Auswirkungen auf Gesundheit und Lebensqualität, besonders in Städten und Agglomerationen.",BAFU-Themen
licht,Lichtverschmutzung,"Zunahme künstlicher Lichtemissionen, Auswirkungen auf nachtaktive Tiere und menschliches Wohlbefinden.",BAFU-Themen
luft,Luftqualität,"Belastung durch Ozon, Feinstaub und Stickstoffverbindungen trotz allgemeiner Verbesserung seit 2000.",BAFU-Themen
naturgefahren_allgemein,Naturgefahren allgemein,"Übergreifendes Risiko durch Naturgefahren in der Schweiz (Gebirge, Gewässer), wachsendes Schadenspotenzial durch Siedlungsausdehnung.",BAFU-Themen
stoerfallvorsorge,Störfallvorsorge,"Risiko von Störfällen im Umgang mit gefährlichen Stoffen/Organismen, Koordination zwischen Raumplanung und Sicherheitsmassnahmen.",BAFU-Themen
wald_holz,Wald und Holznutzung,"Schutzfunktion, Gesundheit und Nutzung des Schweizer Walds; Belastung durch Trockenheit, Hitze, Stürme und Schädlinge.",BAFU-Themen
wasser,Gewässerschutz und Wasserqualität,"Zustand von Bächen und Flüssen, Wasserqualität, strukturelle Defizite trotz grundsätzlicher Erfolge im Gewässerschutz.",BAFU-Themen
wirtschaft_konsum,Ressourcenverbrauch und nachhaltiger Konsum,"Umweltbelastung durch Produktions- und Konsummuster, insbesondere Ernährung, Wohnen und Mobilität; planetare Belastbarkeitsgrenzen.",BAFU-Themen
