theme_id,label_de,description,bafu_risk_ref,example_keywords
abfall,Abfall und Kreislaufwirtschaft,"Menge der Siedlungsabfälle pro Person und Fortschritte beim Schliessen von Materialkreisläufen, Recycling und Wiederverwendung.",,"Abfall,Recycling,Kreislaufwirtschaft,Müll,déchets,recyclage,rifiuti,riciclaggio"
altlasten,Altlasten und belastete Standorte,"Sanierung von mit Schadstoffen belasteten Standorten (ca. 4'000 Altlasten in der Schweiz), Fristen und Fortschritt der Sanierungen.",,"Altlast,belasteter Standort,Sanierung,site pollué,sito contaminato"
biodiversitaet,Biodiversität und Artenschutz,"Zustand und Rückgang der biologischen Vielfalt, gefährdete Arten und Lebensraumtypen, Ursachen wie Flächenverlust und Zerschneidung.",,"Biodiversität,Artenschutz,gefährdete Art,Lebensraum,biodiversité,biodiversità,specie minacciate"
biotechnologie,Biotechnologie und gentechnisch veränderte Organismen,"Umgang mit gentechnisch veränderten oder pathogenen Organismen und invasiven gebietsfremden Arten, Bewilligungen und Sicherheitsauflagen.",,"Gentechnik,gentechnisch verändert,invasive Art,OGM,organismo geneticamente modificato"
boden,Bodenschutz und Bodenversiegelung,"Verlust und Beeinträchtigung fruchtbarer Böden durch Versiegelung und nicht nachhaltige Nutzung, Auswirkungen auf Ökosystemleistungen.",,"Bodenschutz,Bodenversiegelung,Kulturland,sol,suolo,artificialisation"
chemikalien,Chemikaliensicherheit allgemein,"Regulierung und Risikobeurteilung chemischer Stoffe in Produkten des täglichen Bedarfs, internationale Chemikaliensicherheit.",,"Chemikalien,Chemikaliensicherheit,produits chimiques,sostanze chimiche"
elektrosmog,Elektrosmog und Mobilfunkstrahlung,"Belastung der Bevölkerung durch nichtionisierende Strahlung von Mobilfunknetzen, Monitoring und Grenzwerte.",,"Elektrosmog,Mobilfunkstrahlung,5G,Strahlung,rayonnement,antenne"
erdbeben,Erdbebenrisiko und -vorsorge,"Erdbeben als eines der grössten Risiken der Schweiz, Massnahmenprogramme zur Vorsorge und Schadensminderung.",,"Erdbeben,Erdbebenrisiko,séisme,tremblement de terre,terremoto"
umweltgesundheit,Umwelt und Gesundheit,Zusammenhang zwischen intakter Umwelt und menschlicher Gesundheit sowie Wohlbefinden.,,"Umwelt und Gesundheit,Umweltbelastung Gesundheit,santé environnementale,salute ambientale"
klima_allgemein,Klimapolitik und Treibhausgasreduktion,"Übergeordnete Schweizer Klimapolitik, Netto-Null-Ziel 2050, Klima- und Innovationsgesetz, CO2-Gesetz.",,"Klimapolitik,Netto-Null,CO2-Gesetz,Treibhausgas,politique climatique,politica climatica"
landschaft,Landschaftsschutz und -entwicklung,"Erhalt und qualitative Weiterentwicklung der Schweizer Landschaft, Druck durch Siedlungs- und Flächenverbrauch.",,"Landschaftsschutz,Zersiedelung,paysage,paesaggio"
laerm,Lärmbelastung,"Verkehrslärm und dessen Auswirkungen auf Gesundheit und Lebensqualität, besonders in Städten und Agglomerationen.",,"Lärm,Lärmbelastung,Verkehrslärm,bruit,rumore,inquinamento acustico"
